#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,TCK_0,,,,,,,,,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,,VCCINT,,,,,,,,1.0,,,,
AB22,,,GND,,,,,,,,,,,,
AB23,,,RSVD_0,,,,,,,,,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,,IOBM,IO_L3P_21,UNUSED,,21,,,,,,,,,
AB26,,IOBS,IO_L3N_21,UNUSED,,21,,,,,,,,,
AB27,,IOBM,IO_L1P_21,UNUSED,,21,,,,,,,,,
AB28,,IOBM,IO_L5P_21,UNUSED,,21,,,,,,,,,
AB29,,,VCCO_13,,,13,,,,,any******,,,,
AB30,,IOBM,IO_L10P_CC_17,UNUSED,,17,,,,,,,,,
AB31,,IOBM,IO_L9P_CC_17,UNUSED,,17,,,,,,,,,
AB32,,IOBS,IO_L6N_SM3N_13,UNUSED,,13,,,,,,,,,
AB33,,IOBS,IO_L7N_SM2N_13,UNUSED,,13,,,,,,,,,
AB34,,,GND,,,,,,,,,,,,
AC2,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AC3,,,MGTAVTTTX_114,,,,,,,,,,,,
AC4,Sl_rdDBus<41>,IOB,IO_L0P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AC5,Sl_rdDBus<73>,IOB,IO_L0N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AC6,,,VCCO_18,,,18,,,,,2.50,,,,
AC7,Sl_rdDBus<75>,IOB,IO_L3P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AC8,Sl_rdDBus<13>,IOB,IO_L5P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AC9,Sl_rdDBus<76>,IOB,IO_L7N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AC10,Sl_rdDBus<10>,IOB,IO_L7P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AC11,,,GND,,,,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,TMS_0,,,,,,,,,,,,
AC15,,,TDI_0,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,GND,,,,,,,,,,,,
AC22,,,M1_0,,,,,,,,,,,,
AC23,,,RSVD_0,,,,,,,,,,,,
AC24,,IOBS,IO_L17N_21,UNUSED,,21,,,,,,,,,
AC25,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AC26,,,GND,,,,,,,,,,,,
AC27,,IOBS,IO_L1N_21,UNUSED,,21,,,,,,,,,
AC28,,IOBM,IO_L4P_21,UNUSED,,21,,,,,,,,,
AC29,,IOBS,IO_L13N_17,UNUSED,,17,,,,,,,,,
AC30,,IOBS,IO_L10N_CC_17,UNUSED,,17,,,,,,,,,
AC31,,,GND,,,,,,,,,,,,
AC32,,IOBM,IO_L6P_SM3P_13,UNUSED,,13,,,,,,,,,
