#Release 14.4 - par P.49d (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 18 03:47:29 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_aes_map.ncd
#OUTPUT FILE:      my_aes_pad.csv
#PART TYPE:        xc5vfx70t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AG33,,IOBM,IO_L12P_VRN_13,UNUSED,,13,,,,,,,,,
AG34,,,GND,,,,,,,,,,,,
AH1,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
AH2,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
AH3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,Sl_rdDBus<124>,IOB,IO_L12P_VRN_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AH6,,,GND,,,,,,,,,,,,
AH7,Sl_rdDBus<60>,IOB,IO_L14P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AH8,Sl_rdDBus<36>,IOB,IO_L18N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AH9,Sl_rdDBus<68>,IOB,IO_L17P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AH10,Sl_MWrErr<1>,IOB,IO_L17N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AH11,,,VCCO_22,,,22,,,,,2.50,,,,
AH12,Sl_rdDBus<122>,IOB,IO_L1P_GC_D13_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH13,Sl_rdDBus<64>,IOB,IO_L3N_GC_D8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH14,Sl_rdDBus<96>,IOB,IO_L3P_GC_D9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH15,Sl_rdDBus<54>,IOB,IO_L5P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH16,,,GND,,,,,,,,,,,,
AH17,Sl_rdDBus<89>,IOB,IO_L7P_GC_VRN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH18,Sl_MWrErr<6>,IOB,IO_L9P_CC_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH19,Sl_rdDBus<58>,IOB,IO_L2N_GC_D10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH20,Sl_rdDBus<32>,IOB,IO_L2P_GC_D11_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH21,,,VCCO_2,,,2,,,,,2.50,,,,
AH22,Sl_rdDBus<0>,IOB,IO_L0N_GC_D14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AH23,,IOBM,IO_L2P_6,UNUSED,,6,,,,,,,,,
AH24,Sl_SSize<1>,IOB,IO_L0P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AH25,,IOBS,IO_L12N_VRP_21,UNUSED,,21,,,,,,,,,
AH26,,,GND,,,,,,,,,,,,
AH27,,IOBM,IO_L11P_CC_21,UNUSED,,21,,,,,,,,,
AH28,,IOBS,IO_L6N_21,UNUSED,,21,,,,,,,,,
AH29,,IOBM,IO_L19P_17,UNUSED,,17,,,,,,,,,
AH30,,IOBS,IO_L18N_17,UNUSED,,17,,,,,,,,,
AH31,,,VCCO_17,,,17,,,,,any******,,,,
AH32,,IOBS,IO_L14N_VREF_13,UNUSED,,13,,,,,,,,,
AH33,,IOBS,IO_L12N_VRP_13,UNUSED,,13,,,,,,,,,
AH34,,IOBM,IO_L10P_CC_13,UNUSED,,13,,,,,,,,,
AJ2,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
AJ3,,,MGTAVTTTX_118,,,,,,,,,,,,
AJ4,,,MGTAVCC_122,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,Sl_rdDBus<37>,IOB,IO_L16N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ7,Sl_rdDBus<5>,IOB,IO_L16P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ8,,,VCCO_22,,,22,,,,,2.50,,,,
AJ9,Sl_rdDBus<125>,IOB,IO_L15P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ10,Sl_wait,IOB,IO_L15N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ11,Sl_rdDBus<116>,IOB,IO_L11N_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AJ12,,IOBS,IO_L1N_6,UNUSED,,6,,,,,,,,,
AJ13,,,GND,,,,,,,,,,,,
AJ14,,IOBM,IO_L5P_6,UNUSED,,6,,,,,,,,,
AJ15,,IOBS,IO_L9N_CC_6,UNUSED,,6,,,,,,,,,
AJ16,,IOBM,IO_L9P_CC_6,UNUSED,,6,,,,,,,,,
AJ17,,IOBS,IO_L12N_VRP_6,UNUSED,,6,,,,,,,,,
AJ18,,,VCCO_6,,,6,,,,,2.50,,,,
AJ19,,IOBM,IO_L15P_6,UNUSED,,6,,,,,,,,,
AJ20,,IOBS,IO_L8N_CC_6,UNUSED,,6,,,,,,,,,
AJ21,,IOBM,IO_L8P_CC_6,UNUSED,,6,,,,,,,,,
AJ22,,IOBS,IO_L2N_6,UNUSED,,6,,,,,,,,,
AJ23,,,GND,,,,,,,,,,,,
AJ24,,IOBS,IO_L0N_6,UNUSED,,6,,,,,,,,,
AJ25,,IOBM,IO_L12P_VRN_21,UNUSED,,21,,,,,,,,,
AJ26,,IOBS,IO_L11N_CC_21,UNUSED,,21,,,,,,,,,
AJ27,,IOBS,IO_L8N_CC_21,UNUSED,,21,,,,,,,,,
AJ28,,,VCCO_21,,,21,,,,,any******,,,,
AJ29,,IOBS,IO_L9N_CC_21,UNUSED,,21,,,,,,,,,
AJ30,,IOBM,IO_L18P_17,UNUSED,,17,,,,,,,,,
AJ31,,IOBM,IO_L16P_17,UNUSED,,17,,,,,,,,,
AJ32,,IOBM,IO_L15P_13,UNUSED,,13,,,,,,,,,
AJ33,,,GND,,,,,,,,,,,,
AJ34,,IOBS,IO_L10N_CC_13,UNUSED,,13,,,,,,,,,
AK2,,OPAD,MGTTXP0_122,UNUSED,,,,,,,,,,,
AK3,,,MGTAVTTTX_122,,,,,,,,,,,,
AK4,,,GND,,,,,,,,,,,,
AK5,,,MGTAVCC_122,,,,,,,,,,,,
AK6,Sl_rdDBus<126>,IOB,IO_L18N_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AK7,Sl_rdDBus<7>,IOB,IO_L18P_18,OUTPUT,LVCMOS25*,18,12,SLOW,,,,UNLOCATED,NO,NONE,
AK8,Sl_rdDBus<29>,IOB,IO_L13P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AK9,Sl_rdDBus<4>,IOB,IO_L13N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AK10,,,GND,,,,,,,,,,,,
AK11,Sl_rdDBus<84>,IOB,IO_L11P_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AK12,,IOBM,IO_L1P_6,UNUSED,,6,,,,,,,,,
AK13,,IOBS,IO_L3N_6,UNUSED,,6,,,,,,,,,
AK14,,IOBS,IO_L5N_6,UNUSED,,6,,,,,,,,,
AK15,,,VCCO_6,,,6,,,,,2.50,,,,
AK16,,IOBM,IO_L10P_CC_6,UNUSED,,6,,,,,,,,,
AK17,,IOBM,IO_L12P_VRN_6,UNUSED,,6,,,,,,,,,
AK18,,IOBM,IO_L14P_6,UNUSED,,6,,,,,,,,,
AK19,,IOBS,IO_L15N_6,UNUSED,,6,,,,,,,,,
AK20,,,GND,,,,,,,,,,,,
AK21,,IOBS,IO_L11N_CC_6,UNUSED,,6,,,,,,,,,
AK22,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,
AK23,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,
AK24,,IOBM,IO_L4P_6,UNUSED,,6,,,,,,,,,
AK25,,,VCCO_25,,,25,,,,,any******,,,,
AK26,,IOBM,IO_L8P_CC_21,UNUSED,,21,,,,,,,,,
AK27,,IOBS,IO_L10N_CC_21,UNUSED,,21,,,,,,,,,
AK28,,IOBM,IO_L10P_CC_21,UNUSED,,21,,,,,,,,,
AK29,,IOBM,IO_L9P_CC_21,UNUSED,,21,,,,,,,,,
AK30,,,GND,,,,,,,,,,,,
AK31,,IOBS,IO_L16N_17,UNUSED,,17,,,,,,,,,
AK32,,IOBS,IO_L15N_13,UNUSED,,13,,,,,,,,,
AK33,,IOBS,IO_L13N_13,UNUSED,,13,,,,,,,,,
AK34,,IOBM,IO_L13P_13,UNUSED,,13,,,,,,,,,
AL1,,IPAD,MGTRXP0_122,UNUSED,,,,,,,,,,,
AL2,,OPAD,MGTTXN0_122,UNUSED,,,,,,,,,,,
AL3,,,MGTAVTTRX_122,,,,,,,,,,,,
AL4,,IPAD,MGTREFCLKN_122,UNUSED,,,,,,,,,,,
AL5,,IPAD,MGTREFCLKP_122,UNUSED,,,,,,,,,,,
AL6,,,GND,,,,,,,,,,,,
AL7,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AL8,,,MGTAVCC_126,,,,,,,,,,,,
AL9,,,GND,,,,,,,,,,,,
AL10,Sl_rdDBus<108>,IOB,IO_L8N_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AL11,Sl_rdDBus<44>,IOB,IO_L8P_CC_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AL12,,,VCCO_4,,,4,,,,,2.50,,,,
AL13,,IOBM,IO_L3P_6,UNUSED,,6,,,,,,,,,
AL14,,IOBS,IO_L7N_6,UNUSED,,6,,,,,,,,,
AL15,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,
AL16,,IOBS,IO_L10N_CC_6,UNUSED,,6,,,,,,,,,
AL17,,,GND,,,,,,,,,,,,
AL18,,IOBS,IO_L14N_VREF_6,UNUSED,,6,,,,,,,,,
AL19,,IOBM,IO_L13P_6,UNUSED,,6,,,,,,,,,
AL20,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,
AL21,,IOBM,IO_L11P_CC_6,UNUSED,,6,,,,,,,,,
AL22,,,VCCO_25,,,25,,,,,any******,,,,
AL23,,IOBS,IO_L4N_VREF_6,UNUSED,,6,,,,,,,,,
AL24,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AL25,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AL26,,IOBS,IO_L9N_CC_25,UNUSED,,25,,,,,,,,,
AL27,,,GND,,,,,,,,,,,,
AL28,,IOBS,IO_L4N_VREF_25,UNUSED,,25,,,,,,,,,
AL29,,IOBM,IO_L0P_25,UNUSED,,25,,,,,,,,,
AL30,,IOBS,IO_L0N_25,UNUSED,,25,,,,,,,,,
AL31,,IOBS,IO_L1N_25,UNUSED,,25,,,,,,,,,
AL32,,,VCCO_21,,,21,,,,,any******,,,,
AL33,,IOBS,IO_L16N_13,UNUSED,,13,,,,,,,,,
AL34,,IOBM,IO_L16P_13,UNUSED,,13,,,,,,,,,
AM1,,IPAD,MGTRXN0_122,UNUSED,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,
AM3,,,MGTAVTTTX_122,,,,,,,,,,,,
AM4,,,MGTAVCCPLL_122,,,,,,,,,,,,
AM5,,,MGTAVTTTX_126,,,,,,,,,,,,
AM6,,,MGTAVTTRX_126,,,,,,,,,,,,
AM7,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AM8,,,MGTAVCC_126,,,,,,,,,,,,
AM9,,,MGTAVCCPLL_126,,,,,,,,,,,,
AM10,,,MGTAVTTTX_126,,,,,,,,,,,,
AM11,Sl_rdDBus<30>,IOB,IO_L6N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AM12,Sl_rdDBus<62>,IOB,IO_L6P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AM13,Sl_rdDBus<82>,IOB,IO_L2N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AM14,,,GND,,,,,,,,,,,,
AM15,,IOBM,IO_L16P_6,UNUSED,,6,,,,,,,,,
AM16,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
AM17,,IOBM,IO_L19P_6,UNUSED,,6,,,,,,,,,
AM18,,IOBS,IO_L17N_25,UNUSED,,25,,,,,,,,,
AM19,,,VCCO_2,,,2,,,,,2.50,,,,
AM20,,IOBS,IO_L13N_25,UNUSED,,25,,,,,,,,,
AM21,,IOBM,IO_L13P_25,UNUSED,,25,,,,,,,,,
AM22,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AM23,,IOBS,IO_L14N_VREF_25,UNUSED,,25,,,,,,,,,
AM24,,,GND,,,,,,,,,,,,
AM25,,IOBS,IO_L8N_CC_25,UNUSED,,25,,,,,,,,,
AM26,,IOBM,IO_L9P_CC_25,UNUSED,,25,,,,,,,,,
AM27,,IOBM,IO_L4P_25,UNUSED,,25,,,,,,,,,
AM28,,IOBS,IO_L7N_25,UNUSED,,25,,,,,,,,,
AM29,,,VCCO_21,,,21,,,,,any******,,,,
AM30,,IOBS,IO_L2N_25,UNUSED,,25,,,,,,,,,
AM31,,IOBM,IO_L1P_25,UNUSED,,25,,,,,,,,,
AM32,,IOBS,IO_L17N_13,UNUSED,,13,,,,,,,,,
AM33,,IOBM,IO_L17P_13,UNUSED,,13,,,,,,,,,
AM34,,,GND,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,,,GND,,,,,,,,,,,,
AN3,,OPAD,MGTTXN1_122,UNUSED,,,,,,,,,,,
AN4,,OPAD,MGTTXP1_122,UNUSED,,,,,,,,,,,
AN5,,OPAD,MGTTXP0_126,UNUSED,,,,,,,,,,,
AN6,,OPAD,MGTTXN0_126,UNUSED,,,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,,GND,,,,,,,,,,,,
AN9,,OPAD,MGTTXN1_126,UNUSED,,,,,,,,,,,
AN10,,OPAD,MGTTXP1_126,UNUSED,,,,,,,,,,,
AN11,,,GND,,,,,,,,,,,,
AN12,Sl_rdDBus<71>,IOB,IO_L4N_VREF_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AN13,Sl_rdDBus<50>,IOB,IO_L2P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AN14,Sl_rdDBus<12>,IOB,IO_L0P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AN15,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,
AN16,,,VCCO_6,,,6,,,,,2.50,,,,
AN17,,IOBS,IO_L19N_6,UNUSED,,6,,,,,,,,,
AN18,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AN19,,IOBM,IO_L19P_25,UNUSED,,25,,,,,,,,,
AN20,,IOBM,IO_L15P_25,UNUSED,,25,,,,,,,,,
AN21,,,GND,,,,,,,,,,,,
AN22,,IOBM,IO_L16P_25,UNUSED,,25,,,,,,,,,
AN23,,IOBM,IO_L14P_25,UNUSED,,25,,,,,,,,,
AN24,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,,,,,,,
AN25,,IOBM,IO_L8P_CC_25,UNUSED,,25,,,,,,,,,
AN26,,,VCCO_25,,,25,,,,,any******,,,,
AN27,,IOBS,IO_L6N_25,UNUSED,,25,,,,,,,,,
AN28,,IOBM,IO_L7P_25,UNUSED,,25,,,,,,,,,
AN29,,IOBS,IO_L5N_25,UNUSED,,25,,,,,,,,,
AN30,,IOBM,IO_L2P_25,UNUSED,,25,,,,,,,,,
AN31,,,GND,,,,,,,,,,,,
AN32,,IOBM,IO_L19P_13,UNUSED,,13,,,,,,,,,
AN33,,IOBS,IO_L18N_13,UNUSED,,13,,,,,,,,,
AN34,,IOBM,IO_L18P_13,UNUSED,,13,,,,,,,,,
AP2,,IPAD,MGTRXN1_122,UNUSED,,,,,,,,,,,
AP3,,IPAD,MGTRXP1_122,UNUSED,,,,,,,,,,,
AP6,,IPAD,MGTRXP0_126,UNUSED,,,,,,,,,,,
AP7,,IPAD,MGTRXN0_126,UNUSED,,,,,,,,,,,
AP8,,IPAD,MGTRXN1_126,UNUSED,,,,,,,,,,,
AP9,,IPAD,MGTRXP1_126,UNUSED,,,,,,,,,,,
AP11,,,GND,,,,,,,,,,,,
AP12,Sl_rdDBus<39>,IOB,IO_L4P_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AP13,,,GND,,,,,,,,,,,,
AP14,Sl_rdDBus<114>,IOB,IO_L0N_22,OUTPUT,LVCMOS25*,22,12,SLOW,,,,UNLOCATED,NO,NONE,
AP15,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,
AP16,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,
AP17,,IOBS,IO_L17N_6,UNUSED,,6,,,,,,,,,
AP18,,,GND,,,,,,,,,,,,
AP19,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AP20,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AP21,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AP22,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AP23,,,GND,,,,,,,,,,,,
AP24,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,,,,,,,
AP25,,IOBS,IO_L10N_CC_25,UNUSED,,25,,,,,,,,,
AP26,,IOBM,IO_L10P_CC_25,UNUSED,,25,,,,,,,,,
AP27,,IOBM,IO_L6P_25,UNUSED,,25,,,,,,,,,
AP28,,,GND,,,,,,,,,,,,
AP29,,IOBM,IO_L5P_25,UNUSED,,25,,,,,,,,,
AP30,,IOBM,IO_L3P_25,UNUSED,,25,,,,,,,,,
AP31,,IOBS,IO_L3N_25,UNUSED,,25,,,,,,,,,
AP32,,IOBS,IO_L19N_13,UNUSED,,13,,,,,,,,,
AP33,,,GND,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,OPAD,MGTTXN0_120,UNUSED,,,,,,,,,,,
B4,,OPAD,MGTTXP0_120,UNUSED,,,,,,,,,,,
B5,,OPAD,MGTTXP1_124,UNUSED,,,,,,,,,,,
B6,,OPAD,MGTTXN1_124,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,,OPAD,MGTTXN0_124,UNUSED,,,,,,,,,,,
B10,,OPAD,MGTTXP0_124,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,Sl_MRdErr<5>,IOB,IO_L8N_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,Sl_rdBTerm,IOB,IO_L11P_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
B14,,,GND,,,,,,,,,,,,
B15,,IOBS,IO_L0N_5,UNUSED,,5,,,,,,,,,
B16,,IOBM,IO_L0P_5,UNUSED,,5,,,,,,,,,
B17,,IOBM,IO_L2P_5,UNUSED,,5,,,,,,,,,
B18,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
B19,,,VCCO_5,,,5,,,,,any******,,,,
B20,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
B21,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
B22,,IOBS,IO_L3N_23,UNUSED,,23,,,,,,,,,
B23,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
B24,,,GND,,,,,,,,,,,,
B25,,IOBM,IO_L11P_CC_23,UNUSED,,23,,,,,,,,,
B26,,IOBM,IO_L9P_CC_23,UNUSED,,23,,,,,,,,,
B27,,IOBM,IO_L10P_CC_23,UNUSED,,23,,,,,,,,,
B28,,IOBS,IO_L12N_VRP_23,UNUSED,,23,,,,,,,,,
B29,,,GND,,,,,,,,,,,,
B30,,IOBS,IO_L19N_23,UNUSED,,23,,,,,,,,,
B31,,IOBM,IO_L16P_23,UNUSED,,23,,,,,,,,,
B32,,IOBM,IO_L0P_11,UNUSED,,11,,,,,,,,,
B33,,IOBM,IO_L1P_11,UNUSED,,11,,,,,,,,,
B34,,,GND,,,,,,,,,,,,
C1,,IPAD,MGTRXN1_120,UNUSED,,,,,,,,,,,
C2,,,GND,,,,,,,,,,,,
C3,,,MGTAVTTRX_120,,,,,,,,,,,,
C4,,,MGTAVTTTX_120,,,,,,,,,,,,
C5,,,MGTAVTTTX_124,,,,,,,,,,,,
C6,,,MGTAVCCPLL_124,,,,,,,,,,,,
C7,,,MGTAVCC_124,,,,,,,,,,,,
C8,,IPAD,MGTREFCLKN_124,UNUSED,,,,,,,,,,,
C9,,,MGTAVTTRX_124,,,,,,,,,,,,
C10,,,MGTAVTTTX_124,,,,,,,,,,,,
C11,,,GND,,,,,,,,,,,,
C12,Sl_MRdErr<2>,IOB,IO_L6N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
C13,Sl_MWrErr<7>,IOB,IO_L11N_CC_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
C14,,IOBM,IO_L3P_5,UNUSED,,5,,,,,,,,,
C15,,IOBS,IO_L3N_5,UNUSED,,5,,,,,,,,,
C16,,,VCCO_5,,,5,,,,,any******,,,,
C17,,IOBM,IO_L5P_5,UNUSED,,5,,,,,,,,,
C18,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
C19,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
C20,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
C21,,,GND,,,,,,,,,,,,
C22,,IOBM,IO_L3P_23,UNUSED,,23,,,,,,,,,
C23,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
C24,,IOBM,IO_L8P_CC_23,UNUSED,,23,,,,,,,,,
C25,,IOBS,IO_L11N_CC_23,UNUSED,,23,,,,,,,,,
C26,,,VCCO_23,,,23,,,,,any******,,,,
C27,,IOBS,IO_L13N_23,UNUSED,,23,,,,,,,,,
C28,,IOBM,IO_L15P_23,UNUSED,,23,,,,,,,,,
C29,,IOBM,IO_L12P_VRN_23,UNUSED,,23,,,,,,,,,
C30,,IOBM,IO_L17P_23,UNUSED,,23,,,,,,,,,
C31,,,GND,,,,,,,,,,,,
C32,,IOBM,IO_L2P_11,UNUSED,,11,,,,,,,,,
C33,,IOBS,IO_L1N_11,UNUSED,,11,,,,,,,,,
C34,,IOBM,IO_L3P_11,UNUSED,,11,,,,,,,,,
D1,,IPAD,MGTRXP1_120,UNUSED,,,,,,,,,,,
D2,,OPAD,MGTTXN1_120,UNUSED,,,,,,,,,,,
D3,,,MGTAVCCPLL_120,,,,,,,,,,,,
D4,,IPAD,MGTREFCLKN_120,UNUSED,,,,,,,,,,,
D5,,,MGTAVCC_120,,,,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,,MGTAVCC_124,,,,,,,,,,,,
D8,,IPAD,MGTREFCLKP_124,UNUSED,,,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,Sl_wrBTerm,IOB,IO_L4N_VREF_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
D11,Sl_MRdErr<7>,IOB,IO_L4P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
D12,Sl_MWrErr<2>,IOB,IO_L6P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
D13,,,VCCO_1,,,1,,,,,2.50,,,,
D14,,IOBM,IO_L9P_CC_5,UNUSED,,5,,,,,,,,,
D15,,IOBS,IO_L7N_5,UNUSED,,5,,,,,,,,,
D16,,IOBM,IO_L7P_5,UNUSED,,5,,,,,,,,,
D17,,IOBS,IO_L5N_5,UNUSED,,5,,,,,,,,,
D18,,,GND,,,,,,,,,,,,
D19,,IOBS,IO_L12N_VRP_5,UNUSED,,5,,,,,,,,,
D20,,IOBS,IO_L6N_5,UNUSED,,5,,,,,,,,,
D21,,IOBM,IO_L13P_5,UNUSED,,5,,,,,,,,,
D22,,IOBS,IO_L13N_5,UNUSED,,5,,,,,,,,,
D23,,,VCCO_3,,,3,,,,,2.50,,,,
D24,,IOBM,IO_L17P_5,UNUSED,,5,,,,,,,,,
D25,,IOBS,IO_L8N_CC_23,UNUSED,,23,,,,,,,,,
D26,,IOBM,IO_L13P_23,UNUSED,,23,,,,,,,,,
D27,,IOBS,IO_L15N_23,UNUSED,,23,,,,,,,,,
D28,,,GND,,,,,,,,,,,,
D29,,IOBS,IO_L17N_23,UNUSED,,23,,,,,,,,,
D30,,IOBS,IO_L18N_23,UNUSED,,23,,,,,,,,,
D31,,IOBM,IO_L18P_23,UNUSED,,23,,,,,,,,,
D32,,IOBS,IO_L2N_11,UNUSED,,11,,,,,,,,,
D33,,,GND,,,,,,,,,,,,
D34,,IOBS,IO_L3N_11,UNUSED,,11,,,,,,,,,
E2,,OPAD,MGTTXP1_120,UNUSED,,,,,,,,,,,
E3,,,MGTAVTTTX_120,,,,,,,,,,,,
E4,,IPAD,MGTREFCLKP_120,UNUSED,,,,,,,,,,,
E5,,,GND,,,,,,,,,,,,
E6,Sl_rdDBus<3>,IOB,IO_L19P_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,Sl_rdDBus<11>,IOB,IO_L19N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,Sl_MIRQ<1>,IOB,IO_L0N_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
E9,Sl_MIRQ<0>,IOB,IO_L0P_20,OUTPUT,LVCMOS25*,20,12,SLOW,,,,UNLOCATED,NO,NONE,
E10,,,VCCO_20,,,20,,,,,2.50,,,,
E11,PLB_wrDBus<8>,IOB,IO_L15N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
E12,PLB_wrDBus<14>,IOB,IO_L17P_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
E13,PLB_wrDBus<4>,IOB,IO_L17N_20,INPUT,LVCMOS25*,20,,,,NONE,,UNLOCATED,NO,NONE,
