Hierarchy;Name (location);Samples;Calls;Time/Call;%Time
  |   | +-;0x500006a0;38;;;2.3427868
  |   +-;multiplication (AES_128.c:116);27;;;1.6646116
  |   | +-;0x500006b0;27;;;1.6646116
  |   +-;multiplication (AES_128.c:118);12;;;0.7398274
  |   | +-;0x500006c0;12;;;0.7398274
  |   +-;multiplication (AES_128.c:119);46;;;2.836005
  |   | +-;0x500006d0;46;;;2.836005
  |   +-;multiplication (AES_128.c:122);1;;;0.06165228
  |     +-;0x50000700;1;;;0.06165228
  +-;AES_128_main.c;0;;;0.0
  | +-;decrypt;0;1;0ns;0.0
  | +-;encrypt;0;1;0ns;0.0
  | +-;main;0;0;;0.0
  +-;_profile_clean.c;2;;;0.12330456
  | +-;_profile_clean;2;;;0.12330456
  |   +-;_profile_clean (_profile_clean.c:29);2;;;0.12330456
  |     +-;0x50003904;2;;;0.12330456
  +-;_profile_init.c;0;;;0.0
  | +-;_profile_init;0;;;0.0
  |   +-;_profile_init (_profile_init.c:79);0;;;0.0
  |     +-;0x50003900;0;;;0.0
  +-;_profile_timer_hw.c;0;;;0.0
  | +-;microblaze_init;0;0;;0.0
  +-;microblaze_interrupt_handler.c;0;;;0.0
  | +-;__interrupt_handler;0;0;;0.0
  +-;outbyte.c;1;;;0.06165228
  | +-;outbyte;1;0;;0.06165228
  |   +-;outbyte (outbyte.c:14);1;;;0.06165228
  |     +-;0x50003870;1;;;0.06165228
  +-;platform.c;1;;;0.06165228
  | +-;cleanup_platform;0;1;0ns;0.0
  | +-;disable_caches;0;1;0ns;0.0
  | +-;enable_caches;1;1;99.999us;0.06165228
  | | +-;enable_caches (platform.c:70);1;;;0.06165228
  | |   +-;0x50003050;1;;;0.06165228
  | +-;init_platform;0;1;0ns;0.0
  | +-;init_uart;0;1;0ns;0.0
  +-;profile_hist.c;0;;;0.0
  | +-;profile_intr_handler;0;;;0.0
  |   +-;profile_intr_handler (profile_hist.c:50);0;;;0.0
  |     +-;0x50003b90;0;;;0.0
  +-;xbasic_types.c;5;;;0.3082614
  | +-;XNullHandler;5;;;0.3082614
  |   +-;XNullHandler (xbasic_types.c:137);1;;;0.06165228
  |   | +-;0x50004130;1;;;0.06165228
  |   +-;XNullHandler (xbasic_types.c:37);4;;;0.24660912
  |     +-;0x50004140;4;;;0.24660912
  +-;xil_exception.c;3;;;0.18495685
  | +-;Xil_ExceptionDisable;2;;;0.12330456
  | | +-;Xil_ExceptionDisable (xil_exception.c:176);1;;;0.06165228
  | | | +-;0x50003e38;1;;;0.06165228
  | | +-;Xil_ExceptionDisable (xil_exception.c:180);1;;;0.06165228
  | |   +-;0x50003e40;1;;;0.06165228
  | +-;Xil_ExceptionEnable;1;;;0.06165228
  |   +-;Xil_ExceptionEnable (xil_exception.c:162);1;;;0.06165228
  |     +-;0x50003e30;1;;;0.06165228
  +-;xil_printf.c;1;;;0.06165228
  | +-;xil_printf;1;;;0.06165228
  |   +-;xil_printf (xil_printf.c:167);1;;;0.06165228
  |     +-;0x500033d0;1;;;0.06165228
  +-;xintc_l.c;10;;;0.6165228
  | +-;XIntc_DeviceInterruptHandler;0;1624;0ns;0.0
  | +-;XIntc_RegisterHandler;10;1;999.999us;0.6165228
  | | +-;XIntc_RegisterHandler (xintc_l.c:44);3;;;0.18495685
  | | | +-;0x50003d90;3;;;0.18495685
  | | +-;XIntc_RegisterHandler (xintc_l.c:50);1;;;0.06165228
  | | | +-;0x50003de0;1;;;0.06165228
  | | +-;XIntc_RegisterHandler (xintc_l.c:57);4;;;0.24660912
  | | | +-;0x50003dc0;4;;;0.24660912
  | | +-;XIntc_RegisterHandler (xintc_l.c:58);2;;;0.12330456
  | |   +-;0x50003df0;2;;;0.12330456
  | +-;XIntc_SetIntrSvcOption;0;1;0ns;0.0
  +-;xuartlite_l.c;1148;;;70.77682
    +-;XUartLite_SendByte;1148;110;1.43ms;70.77682
      +-;XUartLite_SendByte (xuartlite_l.c:98);248;;;15.289765
      | +-;0x50003b98;0;;;0.0
      | +-;0x50003ba0;248;;;15.289765
      +-;XUartLite_SendByte (xuartlite_l.c:99);900;;;55.487053
        +-;0x50003bb0;900;;;55.487053
